"metabolome","transition","term","estimate","sig","p"
"metabolome PC13","PD","PM2.5(abs)_main",-0.193,NA,">.05"
"metabolome PC13","Dementia","PM2.5(abs)_main",0.0443,NA,">.05"
"metabolome PC13","Mortality","PM2.5(abs)_main",-0.00177,NA,">.05"
"metabolome PC14","PD","PM2.5(abs)_main",-0.159,NA,">.05"
"metabolome PC14","Dementia","PM2.5(abs)_main",0.0526,NA,">.05"
"metabolome PC14","Mortality","PM2.5(abs)_main",0.00429,NA,">.05"
"metabolome PC15","PD","PM2.5(abs)_main",-0.154,NA,">.05"
"metabolome PC15","Dementia","PM2.5(abs)_main",0.0524,NA,">.05"
"metabolome PC15","Mortality","PM2.5(abs)_main",-0.000639,NA,">.05"
"metabolome PC1","PD","PM2.5(abs)_int",0.0325,NA,">.05"
"metabolome PC1","Dementia","PM2.5(abs)_int",0.0238,NA,">.05"
"metabolome PC1","Mortality","PM2.5(abs)_int",-0.0277,NA,">.05"
"metabolome PC2","PD","PM2.5(abs)_int",-0.0183,NA,">.05"
"metabolome PC2","Dementia","PM2.5(abs)_int",-0.0593,NA,">.05"
"metabolome PC2","Mortality","PM2.5(abs)_int",-0.0215,NA,">.05"
"metabolome PC3","PD","PM2.5(abs)_int",0.0619,NA,">.05"
"metabolome PC3","Dementia","PM2.5(abs)_int",0.0575,NA,">.05"
"metabolome PC3","Mortality","PM2.5(abs)_int",-0.0000242,NA,">.05"
"metabolome PC4","PD","PM2.5(abs)_int",0.0211,NA,">.05"
"metabolome PC4","Dementia","PM2.5(abs)_int",-0.0419,NA,">.05"
"metabolome PC4","Mortality","PM2.5(abs)_int",-0.0514,NA,">.05"
"metabolome PC5","PD","PM2.5(abs)_int",0.0778,NA,">.05"
"metabolome PC5","Dementia","PM2.5(abs)_int",-0.048,NA,">.05"
"metabolome PC5","Mortality","PM2.5(abs)_int",-0.0273,NA,">.05"
"metabolome PC6","PD","PM2.5(abs)_int",0.0257,NA,">.05"
"metabolome PC6","Dementia","PM2.5(abs)_int",-0.0539,NA,">.05"
"metabolome PC6","Mortality","PM2.5(abs)_int",-0.0142,NA,">.05"
"metabolome PC7","PD","PM2.5(abs)_int",0.0677,NA,">.05"
"metabolome PC7","Dementia","PM2.5(abs)_int",-0.0626,NA,">.05"
"metabolome PC7","Mortality","PM2.5(abs)_int",-0.0548,NA,">.05"
"metabolome PC8","PD","PM2.5(abs)_int",-0.0473,NA,">.05"
"metabolome PC8","Dementia","PM2.5(abs)_int",0.0481,NA,">.05"
"metabolome PC8","Mortality","PM2.5(abs)_int",0.0499,NA,">.05"
"metabolome PC9","PD","PM2.5(abs)_int",0.0617,NA,">.05"
"metabolome PC9","Dementia","PM2.5(abs)_int",0.0632,NA,">.05"
"metabolome PC9","Mortality","PM2.5(abs)_int",-0.0158,NA,">.05"
"metabolome PC10","PD","PM2.5(abs)_int",0.0907,NA,">.05"
"metabolome PC10","Dementia","PM2.5(abs)_int",-0.00167,NA,">.05"
"metabolome PC10","Mortality","PM2.5(abs)_int",0.00741,NA,">.05"
"metabolome PC11","PD","PM2.5(abs)_int",-0.15,NA,">.05"
"metabolome PC11","Dementia","PM2.5(abs)_int",-0.00268,NA,">.05"
"metabolome PC11","Mortality","PM2.5(abs)_int",-0.0139,NA,">.05"
"metabolome PC12","PD","PM2.5(abs)_int",-0.0536,NA,">.05"
"metabolome PC12","Dementia","PM2.5(abs)_int",0.137,NA,">.05"
"metabolome PC12","Mortality","PM2.5(abs)_int",-0.0215,NA,">.05"
"metabolome PC13","PD","PM2.5(abs)_int",0.167,NA,">.05"
"metabolome PC13","Dementia","PM2.5(abs)_int",0.051,NA,">.05"
"metabolome PC13","Mortality","PM2.5(abs)_int",-0.00244,NA,">.05"
"metabolome PC14","PD","PM2.5(abs)_int",-0.144,NA,">.05"
"metabolome PC14","Dementia","PM2.5(abs)_int",0.00419,NA,">.05"
"metabolome PC14","Mortality","PM2.5(abs)_int",-0.00423,NA,">.05"
"metabolome PC15","PD","PM2.5(abs)_int",0.119,NA,">.05"
"metabolome PC15","Dementia","PM2.5(abs)_int",0.0168,NA,">.05"
"metabolome PC15","Mortality","PM2.5(abs)_int",0.0323,NA,">.05"
"metabolome PC1","PD","NO2_main",-0.0941,NA,">.05"
"metabolome PC1","Dementia","NO2_main",0.101,NA,">.05"
"metabolome PC1","Mortality","NO2_main",-0.0185,NA,">.05"
"metabolome PC2","PD","NO2_main",-0.0838,NA,">.05"
"metabolome PC2","Dementia","NO2_main",0.0856,NA,">.05"
"metabolome PC2","Mortality","NO2_main",0.00246,NA,">.05"
"metabolome PC3","PD","NO2_main",-0.0831,NA,">.05"
"metabolome PC3","Dementia","NO2_main",0.0838,NA,">.05"
"metabolome PC3","Mortality","NO2_main",0.00952,NA,">.05"
"metabolome PC4","PD","NO2_main",-0.0658,NA,">.05"
"metabolome PC4","Dementia","NO2_main",0.0798,NA,">.05"
"metabolome PC4","Mortality","NO2_main",-0.0166,NA,">.05"
"metabolome PC5","PD","NO2_main",-0.0718,NA,">.05"
"metabolome PC5","Dementia","NO2_main",0.0861,NA,">.05"
"metabolome PC5","Mortality","NO2_main",-0.013,NA,">.05"
"metabolome PC6","PD","NO2_main",-0.0838,NA,">.05"
"metabolome PC6","Dementia","NO2_main",0.0884,NA,">.05"
"metabolome PC6","Mortality","NO2_main",0.00317,NA,">.05"
"metabolome PC7","PD","NO2_main",-0.092,NA,">.05"
"metabolome PC7","Dementia","NO2_main",0.0777,NA,">.05"
"metabolome PC7","Mortality","NO2_main",-0.0225,NA,">.05"
"metabolome PC8","PD","NO2_main",-0.0938,NA,">.05"
"metabolome PC8","Dementia","NO2_main",0.0853,NA,">.05"
"metabolome PC8","Mortality","NO2_main",-0.00209,NA,">.05"
"metabolome PC9","PD","NO2_main",-0.0906,NA,">.05"
"metabolome PC9","Dementia","NO2_main",0.0849,NA,">.05"
"metabolome PC9","Mortality","NO2_main",-0.00108,NA,">.05"
"metabolome PC10","PD","NO2_main",-0.0912,NA,">.05"
"metabolome PC10","Dementia","NO2_main",0.0864,NA,">.05"
"metabolome PC10","Mortality","NO2_main",0.00233,NA,">.05"
"metabolome PC11","PD","NO2_main",-0.0924,NA,">.05"
"metabolome PC11","Dementia","NO2_main",0.0866,NA,">.05"
"metabolome PC11","Mortality","NO2_main",0.00176,NA,">.05"
